"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MST1",-0.241224474202073,6.16869631105788,-1.60720560328534,0.108652071741207,0.366301272177866,-4.70378085771775
"SMTNL2",-0.265609715942379,3.81826365635488,-1.60715815217692,0.108662480466085,0.366301272177866,-4.70385124887517
"FHL1P1",-0.170343766405809,1.615775388327,-1.60699981788513,0.108697217900337,0.366301272177866,-4.70408611438025
"LOC143666",-0.155887483947781,4.27708618046689,-1.60632439106474,0.108845500795887,0.36647329874059,-4.70508775320153
"GDAP1L1",-0.186539559179868,1.05887298833262,-1.60615630434903,0.108882427406027,0.36647329874059,-4.70533695633517
"AVPR2",-0.234367007764181,3.04491438813709,-1.60610973961165,0.108892658871271,0.36647329874059,-4.70540598803564
"KLKB1",-0.233252491944334,2.48409827207472,-1.60604252614892,0.108907428735396,0.36647329874059,-4.70550562774997
"C20orf186",0.354240487105227,1.38588902156337,1.60572524271328,0.108977171842307,0.366574051376059,-4.70597592473885
"CDO1",-0.255160993644777,4.55775612972334,-1.60537799899482,0.109053541220436,0.366610785020503,-4.7064905253985
"PF4",0.24770760250672,1.45376776031662,1.60531362491974,0.109067703686882,0.366610785020503,-4.70658591299215
"CLEC4GP1",-0.196066647825233,1.40320501954112,-1.60491633253609,0.109155141350642,0.366632961819827,-4.70717452535402
"GOLGA6L9",-0.208150261864658,7.1547003554178,-1.60463558881184,0.109216962049167,0.366632961819827,-4.70759037705953
"KCNIP3",-0.252797539591713,5.92426277752053,-1.60458503292458,0.109228097573216,0.366632961819827,-4.70766525533569
"KCNA3",-0.285340273281213,6.17987418939963,-1.60442305399806,0.109263781386388,0.366632961819827,-4.70790514645849
"TSLP",-0.254698631198821,3.09938303526069,-1.60418233983816,0.109316827580123,0.366632961819827,-4.70826160038829
"EFCAB6",-0.244961572370908,4.46283271653009,-1.60379494916907,0.109402239766957,0.366632961819827,-4.70883514453585
"MTUS2",0.285915029408828,2.84623084482249,1.60368133285097,0.109427300012677,0.366632961819827,-4.70900333111448
"B4GALNT3",-0.254087704150629,9.20969145165748,-1.60365987526492,0.109432033403503,0.366632961819827,-4.70903509352121
"RAD51AP1",0.206759641150777,7.22644411852011,1.60364329380208,0.109435691267448,0.366632961819827,-4.70905963780075
"CCNE1",0.243549960753778,6.83902119599325,1.60347699201552,0.109472382736648,0.366632961819827,-4.70930578782009
"GPC1",0.201228057758989,10.037932458111,1.60287732985144,0.10960476831565,0.366942899377366,-4.71019316249814
"SYT7",0.295413824708072,9.7128702338091,1.60264858529696,0.109655300982904,0.366978678071419,-4.71053157015601
"CPNE9",-0.185240869587739,1.46326707649861,-1.60215722933768,0.109763910401131,0.367158780228749,-4.7112583270564
"C11orf35",-0.210068810341432,5.49575736690461,-1.60204446903849,0.109788846986968,0.367158780228749,-4.71142507796036
"C1orf92",-0.387016983847714,2.17930122556505,-1.60181496592763,0.109839614751099,0.367195227534526,-4.71176443329426
"FCN1",-0.273040747352332,6.82203315669051,-1.60114023796463,0.109988977287503,0.367561132372243,-4.71276184300388
"RPL22L1",0.175938289173381,8.92348619082966,1.60084910287995,0.110053474697645,0.367643272384952,-4.71319208213385
"FAM196A",0.285191366161442,3.2863164881075,1.60032618590208,0.110169395813592,0.367824307467486,-4.71396465403596
"ACSS3",-0.266238102759117,6.43628452584404,-1.60023265069997,0.11019014105295,0.367824307467486,-4.71410281919697
"C17orf93",0.263740656177135,0.943897691478236,1.60006433476305,0.110227479762243,0.367824307467486,-4.71435142631581
"INSM1",-0.387692745817613,2.10188659096663,-1.59894647253805,0.110475717486743,0.368449128800301,-4.71600188239336
"CASQ1",-0.19146387609881,1.99306975640654,-1.59882196026212,0.110503394658213,0.368449128800301,-4.71618564665068
"SPRED3",0.192665602103095,1.45428421777291,1.59868098180527,0.11053473864009,0.368449128800301,-4.71639369581107
"CYP4F12",-0.377230126780251,3.37614091864454,-1.59790489115317,0.110707414333635,0.368891203333131,-4.71753868787274
"CHAF1B",0.153459916373552,7.63261779985659,1.59725283994511,0.110852657076904,0.368991931468766,-4.71850025544804
"KCNT2",-0.240859751649538,4.04493531788253,-1.5971202802761,0.110882202855497,0.368991931468766,-4.71869569121266
"BAAT",-0.428173243514946,4.77293107587152,-1.59703610075154,0.110900968583966,0.368991931468766,-4.71881979069191
"PYROXD2",-0.222216953928273,7.29450502344577,-1.59684870518744,0.110942752789522,0.368991931468766,-4.71909603051057
"ENTREZ_729884",0.546529970493436,5.57170771623037,1.59670908706017,0.110973892006534,0.368991931468766,-4.71930182076644
"TENM3-AS1",0.268545770402178,2.56302524289494,1.59669053896245,0.110978029334254,0.368991931468766,-4.71932915841169
"C18orf34",-0.20264495300195,1.32679528411244,-1.59619450326763,0.111088720083137,0.369213199293687,-4.72006013832971
"MYRIP",-0.314997345240738,4.66497856173555,-1.59602702478672,0.111126112770091,0.369213199293687,-4.72030689123229
"NCRNA00201",-0.206706013009561,9.52356575246571,-1.59585360376919,0.111164842740651,0.369213199293687,-4.72056237253404
"ZNF257",-0.306793743665342,4.10968077585604,-1.59554343503037,0.111234139115389,0.369233228933631,-4.72101924011338
"SFMBT2",-0.233128488786626,5.83869354364765,-1.59540090892592,0.111265993062954,0.369233228933631,-4.72122914657382
"HSPB9",-0.254487704880126,2.55525691475205,-1.59528839380442,0.111291144790419,0.369233228933631,-4.7213948410214
"GRHL2",-0.152448258266745,10.0331607385773,-1.59510635018488,0.111331848510764,0.369235262795873,-4.72166290155184
"CA12",0.407608613410091,8.48855850492647,1.59460194064688,0.111444692635736,0.369476464785863,-4.72240549015853
"ZNF671",-0.165458049403283,6.79079983089804,-1.5940463003613,0.11156910263763,0.369558715467869,-4.72322323151026
"TRIM16L",0.288424591070936,7.55684160783967,1.59388223431461,0.111605858670815,0.369558715467869,-4.72346463525154
"MAN1A1",-0.186460705210099,9.6809243649194,-1.59383579278212,0.111616264797174,0.369558715467869,-4.72353296399965
"OLFM2",-0.21280566445337,7.92380727856705,-1.59373179775746,0.11163956968506,0.369558715467869,-4.72368596321882
"TNFSF10",-0.201395320674705,11.0131607768237,-1.59344472207647,0.111703922237176,0.369558715467869,-4.72410826251697
"C21orf63",-0.22868887081165,8.4855097084899,-1.59337967198716,0.111718508321846,0.369558715467869,-4.72420394322906
"NR0B1",0.557573123976947,2.01519400725699,1.59284979999205,0.111837376879436,0.369558715467869,-4.72498317613123
"IFI27L2",-0.18836427372377,7.95711203215087,-1.59277202766891,0.111854832312355,0.369558715467869,-4.72509752700038
"C14orf181",-0.173595180902123,5.46119494503028,-1.59272173159895,0.111866122047679,0.369558715467869,-4.72517147580913
"NKAPL",-0.177842103436039,2.47700788290393,-1.5927010709859,0.111870759904931,0.369558715467869,-4.72520185182195
"NINL",-0.177561013861425,8.44411558450126,-1.5923553493244,0.111948389457117,0.369682562531392,-4.72571008703492
"ZNF625",-0.180847260263276,4.20663364933406,-1.59202317610168,0.112023016937657,0.36979641075119,-4.72619830230303
"PLAC9",-0.247118537153986,5.37255262943894,-1.59160069660187,0.112117989875691,0.369946332519182,-4.72681910068856
"LINC00654",-0.19544636030549,6.07491580054128,-1.59118973205798,0.112210435368316,0.369946332519182,-4.72742282245973
"LEKR1",-0.167732762490671,3.68436004773152,-1.59074074208847,0.11231150349963,0.369946332519182,-4.7280822287073
"CDKN3",0.248364403139913,6.8361329698584,1.59067836922455,0.112325549393336,0.369946332519182,-4.72817381765576
"SEMA3A",0.350781852588635,7.45664043764554,1.59067396017681,0.112326542329867,0.369946332519182,-4.7281802918119
"CAP2",0.175333225331832,7.11824156503248,1.59060936398489,0.112341090466293,0.369946332519182,-4.72827514151391
"ITIH3",-0.227007234591103,3.90501527454525,-1.59045696844267,0.11237541838141,0.369946332519182,-4.72849889613869
"FAM55B",0.159165145359471,0.615659586491385,1.59039323938023,0.112389776155122,0.369946332519182,-4.72859245999297
"HCK",-0.209969975798605,9.08780275198106,-1.5897984921446,0.112523839082315,0.370255290442344,-4.72946545966869
"NME3",-0.153270054067957,9.40225618331788,-1.58913857995379,0.112672738914515,0.370501507054157,-4.73043373376489
"TSSK4",-0.170791675660815,3.65279036251041,-1.58911030237152,0.112679122829391,0.370501507054157,-4.73047521593255
"JAK3",-0.167033023743546,8.97013635066268,-1.58865934167818,0.112780969856661,0.370578025126474,-4.73113665993998
"CDKN2C",-0.149606586527109,8.02039573789193,-1.58859415099579,0.112795698837884,0.370578025126474,-4.73123226263877
"KCNA4",-0.234271034692362,1.373778058735,-1.58829600294293,0.112863080870354,0.370578025126474,-4.73166944988197
"MICAL3",0.178842405343406,9.01470548594539,1.58826907153991,0.112869168985849,0.370578025126474,-4.73170893655366
"PRKY",-0.201517394521288,4.07306524380999,-1.58764733114553,0.11300979187194,0.370578025126474,-4.7326203447148
"RBM44",-0.169546109277205,2.49042257970935,-1.58757906703399,0.113025240023559,0.370578025126474,-4.73272039145457
"ZNF781",-0.17259493402271,3.59767267089535,-1.58739607087143,0.113066660244877,0.370578025126474,-4.73298856657879
"C1QB",-0.228716028053159,11.8037292327028,-1.58734502195389,0.113078217039554,0.370578025126474,-4.7330633717086
"GJA1",0.229028080688387,10.6793466245384,1.58723836995186,0.113102364644495,0.370578025126474,-4.73321964779212
"FYB",-0.207671533998566,9.01655737060846,-1.5872277966982,0.11310475880896,0.370578025126474,-4.73323514010632
"MCM3APAS",0.154410924548566,4.78094400880058,1.58697389753111,0.113162262732327,0.370634580286176,-4.73360713170752
"PRSS3",0.469277709724146,3.78350305091223,1.58629012478866,0.113317240752457,0.371010233675837,-4.73460864504537
"KLF5",0.164628966780144,11.0301273467412,1.5861109873768,0.113357870203488,0.371011366231031,-4.73487095479196
"PRLR",-0.39308554160403,6.22217452489088,-1.58547341926109,0.113502567915811,0.371342222345467,-4.73580430392271
"HOXD8",0.322846766971961,4.28599942585933,1.58531035998385,0.113539598059157,0.371342222345467,-4.73604295016689
"BSPRY",-0.164919621090804,9.26375091460734,-1.58449842552529,0.113724127406342,0.371601153112688,-4.73723089961897
"PRMT8",-0.405473451938319,3.19113426158387,-1.58444931991518,0.11373529529181,0.371601153112688,-4.73730272722675
"SERINC4",-0.201474747270357,2.78267263493934,-1.58404225084716,0.113827906683234,0.371601153112688,-4.73789806927212
"KLK1",-0.304952522797988,2.48537046327954,-1.58397704990859,0.113842745938587,0.371601153112688,-4.73799341215282
"CDK5R1",0.187581697218608,6.75859119357164,1.58396492860406,0.113845504827015,0.371601153112688,-4.73801113662455
"HBQ1",0.232947644379839,0.823886755179911,1.5838975009039,0.113860852777851,0.371601153112688,-4.73810973085425
"OPHN1",-0.165427513565929,8.03477951836687,-1.5833780118842,0.113979154117958,0.371855476240311,-4.73886919964548
"TNN",-0.248049462401801,3.20929962637529,-1.58302147898947,0.114060402211727,0.37188304270788,-4.7393902915664
"RBM46",-0.25861080030835,0.977355429011227,-1.58298656938332,0.114068360005403,0.37188304270788,-4.73944130758669
"GLB1L3",-0.610335347225137,4.64854513036024,-1.5826307794721,0.114149488840711,0.372015850043506,-4.73996118654992
"NKX2-1",-0.365999748117216,10.9831241214994,-1.58231042966353,0.114222575437192,0.372122362849854,-4.74042918167039
"MSR1",-0.235674312978394,9.7442820909745,-1.58201294557168,0.114290478388938,0.372211918657045,-4.74086368863185
"FAM46B",-0.227990906143036,6.41461608516809,-1.58166729618823,0.114369415450457,0.37233733343892,-4.74136844460077
"CCDC183-AS1",-0.167492218123063,4.74631616822867,-1.58114052218594,0.114489799299283,0.37259754471604,-4.74213748921572
